STATE,SU_ID,n_obs,econ1_n,econ1_corr,econ1_slope,econ1_r2,econ2_n,econ2_corr,econ2_slope,econ2_r2
NY,0025562183,1,0,,,,0,,,
NY,0025563663,1,0,,,,0,,,
NY,0025566859,1,0,,,,0,,,
NY,0025570306,1,0,,,,0,,,
NY,0025575823,1,0,,,,0,,,
NY,0025598870,1,0,,,,0,,,
NY,0025601336,1,0,,,,0,,,
NY,0025604439,1,0,,,,0,,,
NY,0025622147,1,0,,,,0,,,
NY,0025629064,1,0,,,,0,,,
NY,0025644935,1,0,,,,0,,,
NY,0025651917,1,0,,,,0,,,
NY,0025656993,1,0,,,,0,,,
NY,0025675528,1,0,,,,0,,,
NY,0025686922,1,0,,,,0,,,
NY,0025692709,1,0,,,,0,,,
NY,0025693697,1,0,,,,0,,,
NY,0025707190,1,0,,,,0,,,
NY,0025710779,1,0,,,,0,,,
NY,0025711361,1,0,,,,0,,,
NY,0025722476,1,0,,,,0,,,
NY,0025736976,1,0,,,,0,,,
NY,0025767777,1,0,,,,0,,,
NY,0025770125,1,0,,,,0,,,
NY,0025780678,1,0,,,,0,,,
NY,0025804019,1,0,,,,0,,,
NY,0025804260,1,0,,,,0,,,
NY,0025818536,1,0,,,,0,,,
NY,0025839605,1,0,,,,0,,,
NY,0025841770,1,0,,,,0,,,
NY,0025851558,1,0,,,,0,,,
NY,0025878276,1,0,,,,0,,,
NY,0025887939,1,0,,,,0,,,
NY,0025914229,1,0,,,,0,,,
NY,0025944826,1,0,,,,0,,,
NY,0025952474,1,0,,,,0,,,
NY,0025967478,1,0,,,,0,,,
NY,0025969345,1,0,,,,0,,,
NY,0025972259,1,0,,,,0,,,
NY,0025974668,1,0,,,,0,,,
NY,0025976502,1,0,,,,0,,,
NY,0025980538,1,0,,,,0,,,
NY,0025984302,1,0,,,,0,,,
NY,0025992207,1,0,,,,0,,,
NY,0025995218,1,0,,,,0,,,
NY,0026002538,1,0,,,,0,,,
NY,0026028702,1,0,,,,0,,,
NY,0026037645,1,0,,,,0,,,
NY,0026044419,1,0,,,,0,,,
NY,0026046146,1,0,,,,0,,,
NY,0026050759,1,0,,,,0,,,
NY,0026067074,1,0,,,,0,,,
NY,0026109548,1,0,,,,0,,,
NY,0026119722,1,0,,,,0,,,
NY,0026127521,1,0,,,,0,,,
NY,0026132972,1,0,,,,0,,,
NY,0026137545,1,0,,,,0,,,
NY,0026138380,1,0,,,,0,,,
NY,0026138456,1,0,,,,0,,,
NY,0026144808,1,0,,,,0,,,
NY,0026156048,1,0,,,,0,,,
NY,0026165591,1,0,,,,0,,,
NY,0026172770,1,0,,,,0,,,
NY,0026174345,1,0,,,,0,,,
NY,0026177898,1,0,,,,0,,,
NY,0026179118,1,0,,,,0,,,
NY,0026193565,1,0,,,,0,,,
NY,0026206474,1,0,,,,0,,,
NY,0026207911,1,0,,,,0,,,
NY,0026215746,1,0,,,,0,,,
NY,0026219823,1,0,,,,0,,,
NY,0026221257,1,0,,,,0,,,
NY,0026243344,1,0,,,,0,,,
NY,0026258355,1,0,,,,0,,,
NY,0026260031,1,0,,,,0,,,
NY,0026261938,1,0,,,,0,,,
NY,0026264255,1,0,,,,0,,,
NY,0026266908,1,0,,,,0,,,
NY,0026272235,1,0,,,,0,,,
NY,0026287437,1,0,,,,0,,,
NY,0026297396,1,0,,,,0,,,
NY,0026305663,1,0,,,,0,,,
NY,0026328366,1,0,,,,0,,,
NY,0026328573,1,0,,,,0,,,
NY,0026340377,1,0,,,,0,,,
NY,0026345548,1,0,,,,0,,,
NY,0026347706,1,0,,,,0,,,
NY,0026353645,1,0,,,,0,,,
NY,0026374578,1,0,,,,0,,,
NY,0026397759,1,0,,,,0,,,
NY,0026416071,1,0,,,,0,,,
NY,0026420738,1,0,,,,0,,,
